Author	AuthorGender	Concept	ConceptPair	Form	Gender	Manual	Register	Sentiment_Neutral	Sentiment_Positive	Source	Text	Year	confidence	gpt-3.5-turbo	gpt-4	sentiment
_	_	wife	Spouse	妻子	Female		NEWS	No	No	XIN	见此情景,他流着泪,对妻子说:“不回来不放心。	1995	0.929763674736023	Positive		Negative
_	_	mother-in-law	Parent_In_Law	婆婆	Female		NEWS	No	Yes	CNA	縣市長選舉距投票日剩下不到20天,選戰日趨熱絡,宜蘭縣50多名婆婆媽媽上午在民進黨宜蘭縣長參選人林聰賢競選總部,成立「民主查某人助選團」,每個人都戴上遮陽帽、圍上粉橘色圍巾、背上桃紅色環保袋,裝滿民進黨參選人文宣品。	2009	0.867653548717499	Neutral		Positive
_	_	boy	Not_Adult	男孩	Male		NEWS	No	Yes	CNA	對於與青梅竹馬男友「超級男孩」賈斯汀分手的布蘭妮,調查結果也顯示,五成九的歌迷不希望她再與賈斯汀糾纏下去。	2002	0.911556303501129	Neutral		Positive
_	_	husband	Spouse	丈夫	Male		NEWS	Yes	NA	XIN	得知丈夫在加工管制药品后,妻子百般规劝,可此时的刘应泉早已被金钱迷住了眼睛。	2001	0.529903769493103	Negative		Neutral
_	_	father-in-law	Parent_In_Law	公公	Male		NEWS	No	Yes	CNA	最別出心裁的是,為了滿足小朋友對耶誕老公公的幻想,現場將搭設精緻聖誕屋,安排聖誕老人坐於屋中贈送禮物給八歲以下的小朋友。	1999	0.933559596538544	Neutral		Positive
_	_	man	Adult	男人	Male		NEWS	No	No	CNA	鄭泰安認為,自殺身亡者有九成與憂鬱症有關,青壯年男人自殺人數增加,應該與國內產業、經濟結構的轉變有關,面臨失業壓力的男性族群,出現嚴重憂鬱而選擇走上絕路。	2006	0.989495933055878	Negative		Negative
_	_	woman	Adult	女人	Female		NEWS	No	Yes	CNA	中國國民黨高雄市籍立法委員侯彩鳳已有三十年黨政資歷,平日在立法院問政犀利,不過私底下的侯彩鳳卻有十足的女人味,既愛唱歌仔戲也愛黃梅調,她能演、能唱,還打算成立「子弟戲」研習營,讓對傳統戲曲有興趣的朋友一起探究本土戲曲之美。	2007	0.998582482337952	Positive		Positive
_	_	boy	Not_Adult	男孩	Male		NEWS	No	Yes	CNA	他的老師鄭俊全表示,林彥霖在校領清寒獎學金,父親做小吃攤生意,母親身體狀況不佳,兩個姐姐也都已出嫁,林彥霖是家中唯一男孩,非常上進。	2007	0.99843031167984	Positive		Positive
_	_	brother	Sibling	兄弟	Male		NEWS	Yes	NA	XIN	”为怕他“败家”,家中兄弟分产自立。	2001	0.469113707542419	Neutral		Neutral
_	_	father	Parent	父親	Male		NEWS	Yes	NA	CNA	出國前、回國後都會前往探視父親的病情,並彼此鼓勵打氣。	2008	0.475527912378311	Positive		Neutral
_	_	girl	Not_Adult	女孩	Female		NEWS	Yes	NA	XIN	秦皇岛市中心金三角消夏夜市,十来岁的小女孩帮着姐姐卖丝袜,一些青少年则双手举着衣架高声叫卖:“新潮时装,香港的!”这个市规定,凡有条件的公民都可以参加夜市经营。	1992	0.374285370111466	Neutral		Neutral
_	_	mother	Parent	母親	Female		NEWS	No	No	CNA	高雄縣鳳山市國泰路2歲張姓女童今天上、下午被父親以掃把毆打後昏迷,母親送國軍高雄總醫院急救,晚間7時許不治死亡,鳳山警分局新甲派出所偵訊女童父母了解原因。	2009	0.925280630588532	Negative		Negative
_	_	mother	Parent	母親	Female		NEWS	No	Yes	CNA	名家書畫收藏展展出的畫作是由「澳洲中華文化藝術協會」戴東尼及他的母親戴美玲提供,是戴氏家族四、五代以來的收藏。	2004	0.974038124084473	Positive		Positive
贾安平	_	brother	Sibling	兄弟	Male		NEWS	No	Yes	XIN	家中兄弟14人,其中4人是拳击手。	2002	0.953463912010193	Neutral		Positive
_	_	sister	Sibling	姐姐	Female		NEWS	No	Yes	XIN	3岁时就敢跟着姐姐到家门口的小河中玩水,8岁时第一次上高台 ,对跳水一窍不通的他楞是敢往下跳,结果把身体拍红了一大片。	1992	0.993280112743378	Neutral		Positive
_	_	father	Parent	父親	Male		NEWS	No	No	CNA	邦邦的父親回憶,邦邦在六次化療期間,沒有胃口,什麼都不吃,只吃麥當勞的調味鹽包,當然只能靠掉點滴補充營養,然而在醫療團隊的努力下,邦邦的病情已經穩定,還需要再定期追蹤。	1998	0.462746173143387	Neutral		Negative
_	_	mother-in-law	Parent_In_Law	岳母	Female		NEWS	No	Yes	CNA	陳進興的岳母住在雙和地區,陳進興曾經在永和與警方遭遇,也在永和犯下強暴案,最近台北縣警方也都持續在中正橋頭進行深夜臨檢行動。	1997	0.538603365421295	Neutral		Positive
_	_	brother	Sibling	弟弟	Male		NEWS	No	Yes	XIN	宋楚瑜在会见中共陕西省委书记李建国时说,陈万水的弟弟叫陈千山,他们都出生在陕西,就是说中国人走遍万水千山,都不要忘了自己是炎黄子孙,这种血统的证明是不会被忘的。	2005	0.863913416862488	Neutral		Positive
_	_	brother	Sibling	兄弟	Male		NEWS	No	Yes	CNA	男女組下午繼續爭奪冠軍,日本名古屋短大附中女子隊六十三比三十二輕取我國金甌女中,登上后座,金甌第二;男子組冠亞軍之戰高潮迭起,屏東高中、南山高中兄弟鬩牆,屏東高中技高一籌,以七十八力克南山高中,奪得王座,南山高中第二。	1999	0.929380118846893	Neutral		Positive
周正平	_	husband	Spouse	丈夫	Male		NEWS	No	Yes	XIN	座谈会从下午5时开始,媳妇们聚在一起交流在台湾的生活心得,丈夫们脸上洋溢着幸福的欢笑,孩子们的吵闹声也增添了几分情趣,座谈始终充满了温馨浪漫的气氛。	2004	0.99770587682724	Positive		Positive
_	_	daughter	Child	女兒	Female		NEWS	No	No	CNA	苗栗縣日前發生父親強暴兩位女兒的亂倫事件,頭份鎮一名黃姓男子因涉嫌強暴親生女兒,經檢方起訴後,苗栗地方法院今天判處黃姓男子十二年有期徒刑。	1997	0.929181098937988	Negative		Negative
_	_	boy	Not_Adult	男孩	Male		NEWS	No	Yes	CNA	跟別人不同的是,擁有一半台灣血統的莫斯,只是個十歲的男孩。	2008	0.465496599674225	Neutral		Positive
_	_	husband	Spouse	丈夫	Male		NEWS	No	No	CNA	警方將蔡振耀帶回警局後,被害人蔡尤春花突然發現,歹徒居然是她丈夫。	1997	0.847654521465302	Negative		Negative
_	_	brother	Sibling	兄弟	Male		NEWS	No	Yes	CNA	有性困擾或問題時,國中生會找的對象依序是朋友、父母、同學、兄弟姐妹、老師,而有超過三分之一的國中學生和其父母曾談論性的問題,而通常父親教育程度為大專程度以上者,性態度比父親教育程度為國中、國小者等較正面積極。	1995	0.7803995013237	Neutral		Positive
_	_	boy	Not_Adult	男孩	Male		NEWS	No	Yes	XIN	尽管这名小男孩是在两年前出生的,但是直到最近,英国曼彻斯特圣玛丽医院才对外宣布了这个令人振奋的消息。	2004	0.759354293346405	Positive		Positive
_	_	brother	Sibling	兄弟	Male		NEWS	Yes	NA	CNA	據悉,會議沒有特定議程,主要是蒲亭想向這些前蘇聯兄弟國元首報告G8八大工業國高峰會議內容。	2006	0.975787699222565	Neutral		Neutral
_	_	husband	Spouse	丈夫	Male		NEWS	No	No	CNA	中共採強硬路線的另一個跡象是中共不准侯曉天探視她被囚並住院的丈夫,她原定十二日與王軍濤作每月一次的會面,但中共當局連續第二個月不准。	1991	0.84288364648819	Negative		Negative
_	_	woman	Adult	女人	Female		NEWS	Yes	NA	CNA	到今年以來,張曼玉以「阮玲玉」、「三個女人的故事」、「甜蜜蜜」、連同本屆金馬的「花樣年華」四度拿到金馬獎女主角,也贏得香港電影金像獎與柏林影展最佳女演員獎項,堪稱得獎常勝軍。	2000	0.769771099090576	Neutral		Neutral
_	_	son	Child	儿子	Male		NEWS	Yes	NA	XIN	伊丽莎白女王也发表了一份声明,对查尔斯王储管教儿子的方法表示支持,同时,她还希望此事就此打住。	2002	0.527733862400055	Positive		Neutral
_	_	wife	Spouse	妻子	Female		NEWS	No	Yes	XIN	范齐尔现同他的妻子一起住在开普省的克拉伊方丹。	1992	0.819570660591125	Neutral		Positive
_	_	sister	Sibling	妹妹	Female		NEWS	No	Yes	CNA	行政院衛生署長張博雅會不會參選嘉義市長?嘉義市長張文英今天表示,最近她曾當面問過妹妹張博雅這個問題,答案是肯定的。	1997	0.948552429676056	Neutral		Positive
_	_	husband	Spouse	丈夫	Male		NEWS	Yes	NA	CNA	立法委員吳德美今天在新加坡告訴中央社記者,她與丈夫監察委員朱安雄及經濟部國營會副主委張子源昨天在麻六甲獲馬來西亞總理馬哈地接見,並晤談了三十分鐘。	1992	0.724392414093018	Neutral		Neutral
_	_	father-in-law	Parent_In_Law	公公	Male		NEWS	No	Yes	CNA	由於林、陳雙方曾在台北市立女中 (金華女中) 時代有過師生情誼,加上林澄枝的公公、總統府資政謝東閔與陳郁秀的父親、本土知名畫家陳慧坤也是長年舊識,因此,今天的禮貌性拜會和請益顯得特別溫馨融洽。	2000	0.98585432767868	Neutral		Positive
_	_	girl	Not_Adult	女孩子	Female		NEWS	No	No	CNA	三人坦承,當天晚上,以藉口找一名女孩子和打電動玩具為由,進入被害人店內,之後,又藉故電動玩具會吃錢,乘著和被害人理論不注意時,王姓少年以預藏的錏管朝被害人的頭部猛擊,黃譽維和呂勇賢則搜刮屋內財物,隨後三人倉皇逃逸,並將行兇衣物和兇器丟棄。	1999	0.71033650636673	Negative		Negative
_	_	woman	Adult	女人	Female		NEWS	No	Yes	CNA	展覽作品由法國攝影大師H.Lewis掌鏡,他拍攝Aubade近百年來的經典內衣作品,攝影作品以黑白為基調,將女人性感優雅的內在曲線漂亮呈現,讓民眾在商業產品中感受到另一種深度的藝術氣息。	2004	0.9960657954216	Positive		Positive
李小林	_	mother-in-law	Parent_In_Law	婆婆	Female		NEWS	Yes	NA	XIN	大连市政府体改委正在加紧制定政策、搞好规划和协调,近期将再为30家企业“换婆婆”。	1992	0.83416098356247	Neutral		Neutral
_	_	mother	Parent	母親	Female		NEWS	No	Yes	CNA	許財利致贈市民災害救助金,由林家的長子林修崇代表接受,他也安慰痛失母親跟愛子的林修崇,請家屬們節哀順變,並指示警察局、消防局儘速釐清火警的起因,社會局等相關單位也要全力協助家屬處理後事。	2005	0.830252408981323	Positive		Positive
_	_	daughter	Child	女儿	Female		NEWS	No	No	XIN	黑熊跑进死胡同已无路可走,于是跳进了陈喜山家,陈喜山12岁的小女儿看见黑熊以为是一只狗,刚要去开院门锁头,被黑熊一掌打到后脑勺上,小女“啊”地一声倒地,耳朵里流出了血。	1994	0.895782709121704	Neutral		Negative
_	_	father	Parent	父親	Male		NEWS	No	Yes	CNA	趙小蘭為美國華府智庫「傳統基金會」研究員,應臺灣大學邀請,今天偕同父親趙錫成博士及「傳統基金會」資深顧問許心怡訪台,晚間搭機抵達桃園機場。	2009	0.905412971973419	Neutral		Positive
卜云彤	_	sister	Sibling	妹妹	Female		NEWS	No	Yes	XIN	1998年8月,范起明等5人票据诈骗、贷款诈骗案在审查起诉期间,范的妹妹多次找王德伟,并数次与王德伟发生性关系。	2000	0.845026850700378	Neutral		Positive
李博	_	husband	Spouse	丈夫	Male		NEWS	No	Yes	XIN	她说,自丈夫来美国打工后,夫妻已5年没有团聚,没想到竟从此天人永隔。	2007	0.510240197181702	Negative		Positive
_	_	husband	Spouse	丈夫	Male		NEWS	No	No	CNA	之後,丈夫行蹤不明,他們家人遂報警求助。	1995	0.98784863948822	Negative		Negative
_	_	man	Adult	男人	Male		NEWS	Yes	NA	CNA	翌年,她與萊恩雷諾(Ryan Reynolds)及甘蒂絲柏根(Candice Bergen)合作的「不結婚的男人」(Starting Over),讓她連續第2年入圍奧斯卡最佳女主角獎。	2010	0.81678831577301	Neutral		Neutral
_	_	wife	Spouse	妻子	Female		NEWS	Yes	NA	CNA	估計昨晚約有兩萬人湧入中正文化中心,朵朵絢爛火花在天空綻放後,突然一枚三台斤重如椰子般大的未爆煙火彈從天墜落,不巧打中蔣金德左腹及腿部,痛得他連聲哀嚎,立即叫妻子「快送我去醫院」。	1997	0.534059941768646	Neutral		Neutral
姜帆	_	son	Child	儿子	Male		NEWS	No	No	XIN	50多岁的老林是个“电脑盲”,因此儿子将一切都设置成“傻瓜式”的,一连上线,对话框就会自动弹出,点击几个键之后,他就看到远在美国德克萨斯州奥斯汀市的儿子了。	2004	0.857205867767334	Positive		Negative
_	_	father-in-law	Parent_In_Law	岳父	Male		NEWS	No	Yes	CNA	謝敏政繼又於五年前在家鄉推動成立船仔頭藝術村文教基金會,倡導「老吾老、幼吾幼的新故鄉運動」除積極鼓吹年輕人回流故鄉陪伴年老雙親盡孝之外,每星期亦抽空偕同妻小,北上台北縣土城鄉探望岳父母;故鄉船仔頭則因基金會倡導人口回流成效良好,今年甫獲李總統表揚船仔頭為全國模範社區。	1999	0.936978757381439	Neutral		Positive
_	_	sister	Sibling	妹妹	Female		NEWS	Yes	NA	CNA	衛生署疾病管制局今天指出,日前發燒四天後病故的五歲小妹妹,遺體解剖報告初步排除腸病毒感染,死因可能是肺炎球菌感染,女童的家人也無疑似腸病毒感染症狀。	2004	0.755551218986511	Neutral		Neutral
_	_	mother	Parent	媽媽	Female		NEWS	Yes	NA	CNA	陳菁徽則以神秘嘉賓方式現身會場,介紹為媽媽拍攝的競選廣告,並答覆相關問題,為黃昭順拉票。	2010	0.541662812232971	Neutral		Neutral
_	_	boy	Not_Adult	男孩	Male		NEWS	No	Yes	XIN	”胡常临说,也许就是奥运会的成功,让龙清泉从一个懵懂少年变成懂事的大男孩。	2009	0.996924459934235	Positive		Positive
_	_	father	Parent	父亲	Male		NEWS	Yes	NA	XIN	施蒂丝介绍说,第二次世界大战后,父亲施至成注意到很多人没有鞋穿,便决定在卖食杂的同时开始卖鞋。	2009	0.633736491203308	Positive		Neutral
_	_	boy	Not_Adult	男孩	Male		NEWS	No	Yes	CNA	卡路奇表示,「小王子」帶有自傳色彩,是兩個聖修伯里之間的對話:迫降在埃及沙漠中的一個飛行員,和在童年神奇花園中的金髮小男孩。	2007	0.994013965129852	Neutral		Positive
_	_	son	Child	儿子	Male		NEWS	No	Yes	XIN	韩国百岁老人柳斗姬见到半个世纪来从未谋面的儿子和儿媳泣不成声,她紧紧地握着亲人的双手,久久不愿松开。	2000	0.934866309165955	Positive		Positive
_	_	mother	Parent	母親	Female		NEWS	No	No	CNA	母親哺育致使新生兒感染病毒,不同於愛滋病之處在於,HTLV–一病毒通常是在嬰兒出世後才發病的。	1995	0.98967570066452	Neutral		Negative
_	_	man	Adult	男人	Male		NEWS	No	Yes	CNA	經常被雜誌選為「男人心中的理想新娘」第一名的她,即將邁入三十歲大關,因此她下定決心要重新出發,成為「專業料理人」。	2000	0.886195957660675	Neutral		Positive
_	_	boy	Not_Adult	男孩子	Male		NEWS	No	No	CNA	青春期的女孩子比男孩子更擔心自己的外表、愛情與其它問題。	1998	0.597907781600952	Neutral		Negative
_	_	father	Parent	爸爸	Male		NEWS	No	Yes	XIN	等待多时的女儿由由见爸爸一进家门,就欢快得像只小鸟蹦到了钢琴旁,给亲爱的爸爸弹起了世界钢琴名曲。	2001	0.979097306728363	Positive		Positive
_	_	mother	Parent	母親	Female		NEWS	No	Yes	CNA	金氏世界紀錄董事長戴勝益表示,舉辦這項「台灣媽媽之最」徵求活動,除了是要為台灣打造一個挑戰金氏世界紀錄的新驕傲外,主要也是要在母親節之際,感念母親的辛勞。	2000	0.994368970394134	Positive		Positive
_	_	woman	Adult	女人	Female		NEWS	No	Yes	XIN	“小乞丐”一旦乞讨到钱或物,就送给这帮女人。	2001	0.438820004463196	Neutral		Positive
_	_	father	Parent	父親	Male		NEWS	No	No	CNA	另一林姓病患家屬也說,她的父親雖罹患喉癌,但仍能從事登山等運動,她因「仰慕」陳家楨是治癌專家,陳家楨也承諾可讓其父多活五到十年,其父才在她堅持下同意接受治療,但治療後病情卻急劇惡化,前後不到三個月就去世,使她當初的堅持成為一生的痛,她才會站出來指控,希望陳家楨能還給社會一個公道。	2002	0.564787268638611	Negative		Negative
_	_	boy	Not_Adult	男孩	Male		NEWS	No	No	CNA	這樣的日子住了三個多月,我出院了,但是卻完全變了一個人,因為我已不再是以往那個活潑的小女孩,今日的我是個沒有頭髮、戴著一頂鴨舌帽、又像男孩、又像女孩的癌症病患。	1998	0.971907913684845	Neutral		Negative
_	_	woman	Adult	女人	Female		NEWS	No	Yes	CNA	她一直到十一歲那年無意間有一個機會才能在公開場合獨唱,唱完之後觀眾起立鼓掌,因為大家都不敢相信一個小女孩怎會有三十歲女人的渾厚嗓音,家人也才了解她真的很有天份。	2007	0.976057052612305	Positive		Positive
_	_	mother-in-law	Parent_In_Law	婆婆	Female		NEWS	No	No	CNA	觀光局官員指出,納管後,僅是多了一位婆婆,在現有十多位管理單位再加一個,反倒是圓山飯店近年來企業老化,內部管理階層高齡化等諸多問題才是真正值得注意的,圓山飯店如不能自內部重整,金碧絢爛的圓山恐怕難復往日風光。	1995	0.618086516857147	Neutral		Negative
_	_	woman	Adult	女人	Female		NEWS	No	Yes	CNA	兩平會今天審議此案時,特別邀請婦女團體列席表達看法,出席者包括台灣婦女會代表黃麗蓉、台北市婦女新知協會理事長宋順蓮、台灣女人連線代表徐佳青及台北市女權會代表莊淑靜等。	2002	0.547852575778961	Neutral		Positive
_	_	brother	Sibling	哥哥	Male		NEWS	No	Yes	CNA	多年前皈依天主教的傑布布希說:「我知道我哥哥期待與教宗本篤十六世發展同樣的關係,我也認為,如此可以增進世界各地的社會正義,自由與民主。	2005	0.772365033626556	Positive		Positive
_	_	father-in-law	Parent_In_Law	岳父	Male		NEWS	No	No	CNA	由於岳父不幸去世,陳水扁今天一早即南下台南奔喪,但因謝票行程早已排定,陳水扁在忙完喪事後,下午兩時多即搭機返回台北,繼續第二天的謝票行程,下午在位於永吉路的陳水扁競選總部前,即擠滿上百位的支持民眾等待阿扁的到來。	1998	0.994675397872925	Neutral		Negative
_	_	wife	Spouse	妻子	Female		NEWS	No	No	CNA	許炳文下午頻頻接獲看守所電話聯絡,指出袁斌進食狀況不佳,對看不到妻子,而被關在所中也感到相當焦躁,並表示若被遣返大陸,不惜自殺或同歸於盡。	1998	0.772352039813995	Neutral		Negative
_	_	woman	Adult	女人	Female		NEWS	No	No	CNA	台南市古寺「開元寺」驚爆性侵疑雲,二名比丘尼今天指控開元寺「當家師」釋會善對她們性侵及性騷擾,且包養女人,掏空開元寺所屬慈愛醫院的財產;釋會善全盤否認說,這全是開元寺準備選舉新住持惹出來的糾紛。	2005	0.997872233390808	Negative		Negative
_	_	woman	Adult	女人	Female		NEWS	No	Yes	CNA	被視為近十年來在中國大陸最受爭議的舞台創作,但「徽州女人」在舞台上呈現唯美,如詩如畫的效果確實吸引了各地的觀眾。	2000	0.991458714008331	Positive		Positive
_	_	father-in-law	Parent_In_Law	岳父	Male		NEWS	No	Yes	CNA	蘇貞昌會贈送陳總統的金孫這一份特殊又實用的竹製嬰兒床當禮物,是源自於去年陳總統獲邀主持台北縣工商展覽中心揭幕啟用時,參觀竹藝家具精品展示,當時前一天剛主持陳幸妤婚禮,升格當岳父的陳水扁,對於展示的嬰兒床與娃娃車相當有興趣,並且試著推來推去。	2002	0.562318682670593	Positive		Positive
_	_	father	Parent	父亲	Male		NEWS	No	Yes	XIN	上个月在上海世博会展示生产技艺的他说,罗盘是中国特有的东西,恐怕目前世界上只有他与父亲能完全掌握制作罗盘的传统手工技艺。	2010	0.997992157936096	Positive		Positive
_	_	man	Adult	男人	Male		NEWS	No	Yes	CNA	俗話說,成功的男人後面總有一個偉大的女性,在朱慧敏的支持下,何曼德才能獲得今日的成就。	2002	0.804878532886505	Positive		Positive
_	_	brother	Sibling	兄弟	Male		NEWS	No	Yes	CNA	所有西藏人咸信,若中國真心平等對待西藏的兄弟姊妹,一切不會發生的。	2008	0.4508156478405	Positive		Positive
_	_	father	Parent	父親	Male		NEWS	No	Yes	CNA	旁人也可感受到陪伴的父親劉偉超、母親舒瑞可的喜悅與驕傲。	2006	0.99765282869339	Positive		Positive
_	_	wife	Spouse	妻子	Female		NEWS	No	Yes	CNA	他的妻子邵曉鈴十三日到舊金山陪伴他,胡志強當時曾在醫院住了四天三夜。	2002	0.950982809066772	Positive		Positive
_	_	mother-in-law	Parent_In_Law	婆婆	Female		NEWS	Yes	NA	CNA	壹週刊報導台北市兆如老人安養護中心請3位外籍看護工,特權全天候照護總統馬英九大姐馬以南的婆婆。	2010	0.700564444065094	Neutral		Neutral
_	_	man	Adult	男人	Male		NEWS	No	Yes	CNA	王玲惠對於外籍新娘多所關心,也希望在多數為男人從政的政壇,要求周錫瑋與洪秀柱等現任立委,留在立法院監督政府,讓前財政部長王建(火宣)與花蓮縣長謝深山所支持的王玲惠,可以以溫柔的女性,進駐台北縣政府。	2005	0.65812623500824	Neutral		Positive
_	_	sister	Sibling	妹妹	Female		NEWS	No	Yes	CNA	七歲的蕭家姊妹父親蕭明文說,蕭姿俞是在婦幼醫院以自然產方式生下,但因為保溫箱不足,院方趕緊將媽媽轉送到台大醫院,以剖腹方式生下妹妹蕭姿亭。	1999	0.549552857875824	Neutral		Positive
_	_	wife	Spouse	妻子	Female		NEWS	Yes	NA	CNA	安南在婦女團體巨大壓力下作成的這項決定,使聯合國支付已離婚妻子及子女家庭撫養費的規定,與美國政府完全一致。	1999	0.737214505672455	Neutral		Neutral
_	_	girl	Not_Adult	女孩	Female		NEWS	No	No	CNA	不過女孩所感染的並非在台灣引致六十多人死亡的EV七十一型腸病毒,由於克沙奇病毒最容易引起心肌炎併發症,故懷疑女孩是感染克沙奇病毒。	1998	0.981118142604828	Neutral		Negative
_	_	boy	Not_Adult	男孩	Male		NEWS	No	No	CNA	據報導,廣東韶關一名十一歲男孩連續三個月發高燒,醫生診治後,驚覺男童心臟插著一根六公分的竹枝長達一年多。	2005	0.89651221036911	Neutral		Negative
_	_	son	Child	兒子	Male		NEWS	Yes	NA	CNA	由於片中分飾傳教士奈特和他的兒子兩角的查德艾倫是同性戀者,他的演出一度引來非議。	2007	0.861963331699371	Neutral		Neutral
_	_	husband	Spouse	丈夫	Male		NEWS	No	No	CNA	賴姓婦人的丈夫目前無業,大女兒則是鋼琴家教,收入不穩定,家中經濟拮据。	2010	0.6049485206604	Negative		Negative
_	_	man	Adult	男人	Male		NEWS	No	Yes	CNA	84%的受訪男性認為,男人性自信中最重要的元素是在性愛上取悅伴侶的能力,75%的受訪女性也抱持相同看法。	2009	0.937377274036408	Neutral		Positive
_	_	woman	Adult	女人	Female		NEWS	Yes	NA	CNA	金相中說,他和金喜愛、裴宗玉都是好友,私下也會通電話、相約吃飯,真的沒有像「我男人的女人」劇中那樣的劍拔弩張。	2008	0.684977054595947	Neutral		Neutral
_	_	daughter	Child	女儿	Female		NEWS	No	Yes	XIN	客人到来时,呼斯曼热情地把他们让进毡房,他老伴端上香喷喷的奶茶,女儿把热腾腾的手抓肉摆在客人面前。	1995	0.821904420852661	Positive		Positive
_	_	sister	Sibling	妹妹	Female		NEWS	No	No	CNA	他表示,若立院沒有行使監委同意權,就沒有監委可以繼續進行邱小妹妹等類似案件的調查。	2005	0.71652626991272	Neutral		Negative
_	_	son	Child	儿子	Male		NEWS	No	Yes	XIN	她说:“以前我儿子是个游戏机迷,带他来看演出就是为了把他从游戏机厅里拉回来。	2001	0.679983735084534	Neutral		Positive
_	_	son	Child	兒子	Male		NEWS	No	Yes	CNA	北京有關人士稱,劉華清兩個兒子劉卓偉、劉卓明並未捲入廈門遠華走私案。	2000	0.789911985397339	Neutral		Positive
_	_	man	Adult	男人	Male		NEWS	No	Yes	CNA	但是到了今年,三十歲至三十一歲的男士的好感度竟驟增至百分之八十,也就是說,八成左右的女性認為而立之年的男人最適宜結婚。	2007	0.955630660057068	Neutral		Positive
_	_	son	Child	兒子	Male		NEWS	No	Yes	CNA	南韓前總統金大中的兩個兒子—金弘業和金弘傑也將被赦免。	2005	0.786410868167877	Neutral		Positive
_	_	man	Adult	男人	Male		NEWS	Yes	NA	CNA	他說,男人最怕嘮叨不休的女人,所以身為嬌妻者,在家要像下女,應酬要像貴婦,還要有六分女人味、三分母性愛及保持一份童心,成為丈夫的好幫手和好伴侶。	1993	0.604844927787781	Neutral		Neutral
林建杨	_	woman	Adult	女人	Female		NEWS	No	Yes	XIN	女人可以随意打扮自己,更可以选择不同职业。	2009	0.989697635173798	Positive		Positive
_	_	boy	Not_Adult	男孩	Male		NEWS	Yes	NA	XIN	衡水市消防支队架起云梯把男孩抱了下来。	2003	0.739044368267059	Positive		Neutral
_	_	father	Parent	父親	Male		NEWS	No	Yes	CNA	宋楚瑜說,選舉活動以來,有人故意抹黑他,打擊他,說他是『宮廷派』、『世家子弟』,其實他家境並非富有,祖父務農,父親從軍,他在美國留學期間,半工半讀,與太太陳萬水共同奮鬥,他認為自己是一位有血有淚、不貪不取、有情有義的男子漢,誠心誠意要為省民服務,請大家支持他,給他有繼續服務省民的機會,和大家一起共同為台灣的光明前途努力奮鬥。	1994	0.90526694059372	Positive		Positive
_	_	father	Parent	父親	Male		NEWS	No	No	CNA	例如舞台上特製的圓毯月亮,就是反映了沒有父親的吳興國,對父親的陌生感及對母親的眷戀。	2001	0.955938637256622	Neutral		Negative
_	_	daughter	Child	女兒	Female		NEWS	No	Yes	CNA	她的女兒五歲後剛開始到佛堂練習讀三字經,每句總要練習數百遍,跨越三字經的門檻,接下來的學習大有進步。	2007	0.912103354930878	Positive		Positive
_	_	daughter	Child	女兒	Female		NEWS	No	Yes	CNA	林岱樺是鳳山市長林三郎的女兒,三年前首次參選立委,得票七萬兩千多票超越立法院長王金平,高居九位當選人第一,呂副總統對她在立法院的表現稱讚有加。	2004	0.84871506690979	Positive		Positive
_	_	daughter	Child	女兒	Female		NEWS	No	No	CNA	法塔組織安全部隊在加薩走廊北部的指揮官加里伯(Muhammad Gharib)四日在他的家中被槍榴彈攻擊死亡,另外還有他的兩名女兒和兩名保鑣都在這起哈瑪斯派系的攻擊中死亡,事實上他在三日就曾遭遇哈瑪斯派系的攻擊,當時有兩名保鑣被綁架。	2007	0.992168247699738	Negative		Negative
_	_	mother	Parent	母亲	Female		NEWS	No	Yes	XIN	“创作这首歌曲就像母亲孕育一个孩子,孕育的时间很长,但分娩时间很短。	2008	0.4431112408638	Neutral		Positive
_	_	daughter	Child	女兒	Female		NEWS	No	No	CNA	一對結婚3年多的蔡姓夫婦不孕,經醫師診斷,太太有一側輸卵管堵塞和多囊性卵巢,經注射排卵針後,太太已懷孕7個多月,醫院今天為他們舉辦二度婚禮慶祝,夫婦希望第一胎女兒照顧好後,能再懷第二胎。	2009	0.438582509756088	Positive		Negative
姜在忠	_	boy	Not_Adult	男孩	Male		NEWS	Yes	NA	XIN	哈尔滨9岁男孩李柯,生下来只有一只耳朵,经庄洪兴手术后,两只耳朵已经难以区分哪是天成哪是后造。	1991	0.786654531955719	Positive		Neutral
_	_	woman	Adult	女人	Female		NEWS	No	Yes	CNA	只有小學畢業的秦清善忠厚殷實,卻浪漫的想要替孩子的媽製作1份母親節禮物,結果,畫面還是脫離不了兩個已經當媽媽的女人。	2010	0.911106705665588	Neutral		Positive
_	_	mother	Parent	母親	Female		NEWS	No	No	CNA	其中二十三人是注射毒品人士,十名嬰兒經由母親感染。	2000	0.990705192089081	Negative		Negative
_	_	mother	Parent	母親	Female		NEWS	No	Yes	CNA	會中並一一介紹民進黨高雄市議員候選人,以及張俊雄的母親。	1994	0.889582872390747	Neutral		Positive
_	_	father-in-law	Parent_In_Law	公公	Male		NEWS	Yes	NA	CNA	--14時,台北市庇護工場商品發表會,(王留)公公園。	2008	0.646972894668579	Neutral		Neutral
